dataset,feature_set,model,calibration_method,n,roc_auc,pr_auc,accuracy,precision,sensitivity,specificity,f1_score,brier_score,log_loss,ece,mce,calibration_slope,calibration_intercept,tn,fp,fn,tp
NHANES,model_a_screening,XGBoost,beta,2291,0.7590660091685242,0.3746682854627878,0.8249672632038412,0.5384615384615384,0.034739454094292806,0.9936440677966102,0.06526806526806526,0.12777100798415375,0.3998938098153968,0.01989421179332852,0.1240737850385939,0.9293043505984557,0.06610757742154974,1876,12,389,14
Pima,model_a_screening,XGBoost,beta,768,0.7023283582089552,0.5050914099821016,0.6510416666666666,0.0,0.0,1.0,0.0,0.28394757178283275,0.9578697003086637,0.2656142176273546,0.3828391835525954,0.5568038216991507,1.008627644376471,500,0,268,0
Kaggle_internal_test,model_a_screening,LightGBM,uncalibrated,19226,0.8158782383837949,0.3014170357290672,0.7336419432019141,0.2126195670414499,0.7470518867924528,0.7323445521962351,0.3310254735467015,0.1663446267355695,0.4827240825337962,0.2400643734201262,0.5206867551936438,0.7851236515662251,-2.1185105019820742,12838,4692,429,1267
NHANES,model_a_screening,LightGBM,uncalibrated,2291,0.7649737666652647,0.37640460500633044,0.5809690091663029,0.27773343974461295,0.8635235732009926,0.520656779661017,0.42028985507246375,0.26245128943886703,0.7284294601913238,0.32815620095224446,0.5097279895284677,0.8056677803641262,-1.9284461610796317,983,905,55,348
Pima,model_a_screening,LightGBM,uncalibrated,768,0.6860858208955224,0.5109289504273326,0.6653645833333334,0.5265700483091788,0.40671641791044777,0.804,0.4589473684210526,0.22337839120041678,0.6635514294073909,0.1270759726139709,0.5061108130248909,0.43380662511799417,-0.19698774809985403,402,98,159,109
Kaggle_internal_test,model_a_screening,LightGBM,platt,19226,0.8158782383837949,0.3014170357290672,0.9118381358576927,0.5084745762711864,0.01768867924528302,0.9983456930975471,0.03418803418803419,0.06993279945660957,0.242784325996711,0.004074094009512817,0.7022792771797365,0.9630282935594077,-0.07289633083670351,17501,29,1666,30
NHANES,model_a_screening,LightGBM,platt,2291,0.7649737666652647,0.37640460500633044,0.8240942819729375,0.5,0.019851116625310174,0.9957627118644068,0.03818615751789976,0.12729545629984415,0.3979702801563821,0.02283369555860639,0.09492330236934426,0.9885442057744528,0.17095593588934097,1880,8,395,8
Pima,model_a_screening,LightGBM,platt,768,0.6860858208955224,0.5109289504273326,0.6510416666666666,0.0,0.0,1.0,0.0,0.283171485741516,0.966177653299443,0.26647093176352016,0.4383924822988907,0.5320662206795396,0.9332566695756962,500,0,268,0
Kaggle_internal_test,model_a_screening,LightGBM,temperature,19226,0.8158782383837949,0.3014170357290672,0.7336419432019141,0.2126195670414499,0.7470518867924528,0.7323445521962351,0.3310254735467015,0.16256186408826429,0.47531767447365797,0.25122421981116105,0.4773325317804843,0.9929485296299165,-2.1186850896506493,12838,4692,429,1267
NHANES,model_a_screening,LightGBM,temperature,2291,0.7649737666652647,0.37640460500633044,0.5809690091663029,0.27773343974461295,0.8635235732009926,0.520656779661017,0.42028985507246375,0.248010048324348,0.6858667003248929,0.32228149811898965,0.458536361171153,1.01766588407657,-1.9270548132187384,983,905,55,348
Pima,model_a_screening,LightGBM,temperature,768,0.6860858208955224,0.5109289504273326,0.6653645833333334,0.5265700483091788,0.40671641791044777,0.804,0.4589473684210526,0.21459526985074076,0.6250044996952004,0.088434181135692,0.29845560914839847,0.5485260039383384,-0.1970255383649431,402,98,159,109
Kaggle_internal_test,model_a_screening,LightGBM,isotonic,19226,0.8154084406516053,0.2905118749644868,0.9118901487568917,0.5092592592592593,0.03242924528301887,0.9969766115231032,0.06097560975609756,0.07001087013897554,0.24282550665844144,0.0032783098559051515,0.4059741603401742,0.9416668214282136,-0.11262457110335904,17477,53,1641,55
NHANES,model_a_screening,LightGBM,isotonic,2291,0.7642436756108845,0.3632627848420857,0.8249672632038412,0.5384615384615384,0.034739454094292806,0.9936440677966102,0.06526806526806526,0.12765791342018437,0.3998180245484011,0.02344533451394645,0.05877148189274184,0.9192325638557949,0.06207941735355307,1876,12,389,14
Pima,model_a_screening,LightGBM,isotonic,768,0.6859888059701493,0.5052121840210392,0.6510416666666666,0.0,0.0,1.0,0.0,0.2835347929552259,0.9637463068837393,0.2661438571147361,0.39376304593360456,0.5446748882799572,0.952908312877997,500,0,268,0
Kaggle_internal_test,model_a_screening,LightGBM,beta,19226,0.8158782383837949,0.3014170357290672,0.9117341100592947,0.49572649572649574,0.03419811320754717,0.9966343411294923,0.06398234969663541,0.06992231447478983,0.24236747782144694,0.0019155138321799475,0.41356111241274157,0.9676019384062615,-0.06621180952052724,17471,59,1638,58
