target_dataset,feature_set,model,scenario,calibration_method,confidence_level,conformal_method,n,marginal_coverage,coverage_gap,average_prediction_set_size,prediction_set_efficiency,singleton_prediction_rate,empty_set_rate,class_0_conditional_coverage,class_1_conditional_coverage
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,0.8,adaptive_transport_conformal,1146,0.5331588132635253,-0.2668411867364747,0.575043630017452,1.7389984825493172,0.575043630017452,0.424956369982548,0.6472457627118644,0.0
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,0.9,split_conformal_source_calibration,1146,0.7626527050610821,-0.13734729493891795,0.8926701570680629,1.1202346041055717,0.8926701570680629,0.10732984293193717,0.9247881355932204,0.0049504950495049506
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,0.9,adaptive_transport_conformal,1146,0.7643979057591623,-0.1356020942408377,0.8944153577661431,1.1180487804878048,0.8944153577661431,0.1055846422338569,0.926906779661017,0.0049504950495049506
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,0.95,split_conformal_source_calibration,1146,0.9581151832460733,0.008115183246073299,1.4240837696335078,0.7022058823529412,0.5759162303664922,0.0,1.0,0.7623762376237624
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,0.95,adaptive_transport_conformal,1146,0.9581151832460733,0.008115183246073299,1.4240837696335078,0.7022058823529412,0.5759162303664922,0.0,1.0,0.7623762376237624
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,0.8,split_conformal_source_calibration,384,0.328125,-0.47187500000000004,0.3854166666666667,2.5945945945945943,0.3854166666666667,0.6145833333333334,0.492,0.022388059701492536
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,0.8,adaptive_transport_conformal,384,0.328125,-0.47187500000000004,0.3854166666666667,2.5945945945945943,0.3854166666666667,0.6145833333333334,0.492,0.022388059701492536
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,0.9,split_conformal_source_calibration,384,0.5598958333333334,-0.34010416666666665,0.7994791666666666,1.2508143322475571,0.7994791666666666,0.20052083333333334,0.748,0.208955223880597
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,0.9,adaptive_transport_conformal,384,0.5598958333333334,-0.34010416666666665,0.7994791666666666,1.2508143322475571,0.7994791666666666,0.20052083333333334,0.748,0.208955223880597
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,0.95,split_conformal_source_calibration,384,0.9036458333333334,-0.046354166666666585,1.5364583333333333,0.6508474576271187,0.4635416666666667,0.0,0.968,0.7835820895522388
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,0.95,adaptive_transport_conformal,384,0.9036458333333334,-0.046354166666666585,1.5364583333333333,0.6508474576271187,0.4635416666666667,0.0,0.968,0.7835820895522388
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,0.8,split_conformal_source_calibration,384,0.1953125,-0.6046875,0.20833333333333334,4.8,0.20833333333333334,0.7916666666666666,0.292,0.014925373134328358
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,0.8,adaptive_transport_conformal,384,0.1953125,-0.6046875,0.20833333333333334,4.8,0.20833333333333334,0.7916666666666666,0.292,0.014925373134328358
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,0.9,split_conformal_source_calibration,384,0.3802083333333333,-0.5197916666666667,0.4817708333333333,2.075675675675676,0.4817708333333333,0.5182291666666666,0.54,0.08208955223880597
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,0.9,adaptive_transport_conformal,384,0.5833333333333334,-0.31666666666666665,0.8463541666666666,1.1815384615384616,0.8463541666666666,0.15364583333333334,0.852,0.08208955223880597
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,0.95,split_conformal_source_calibration,384,0.9609375,0.010937500000000044,1.6692708333333333,0.5990639625585024,0.3307291666666667,0.0,0.988,0.9104477611940298
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,0.95,adaptive_transport_conformal,384,0.9609375,0.010937500000000044,1.6692708333333333,0.5990639625585024,0.3307291666666667,0.0,0.988,0.9104477611940298
Pima,model_a_screening,Random Forest,adaptive_calibration,isotonic,0.8,split_conformal_source_calibration,384,0.1953125,-0.6046875,0.20833333333333334,4.8,0.20833333333333334,0.7916666666666666,0.292,0.014925373134328358
Pima,model_a_screening,Random Forest,adaptive_calibration,isotonic,0.8,adaptive_transport_conformal,384,0.1953125,-0.6046875,0.20833333333333334,4.8,0.20833333333333334,0.7916666666666666,0.292,0.014925373134328358
Pima,model_a_screening,Random Forest,adaptive_calibration,isotonic,0.9,split_conformal_source_calibration,384,0.3802083333333333,-0.5197916666666667,0.4817708333333333,2.075675675675676,0.4817708333333333,0.5182291666666666,0.54,0.08208955223880597
Pima,model_a_screening,Random Forest,adaptive_calibration,isotonic,0.9,adaptive_transport_conformal,384,0.5833333333333334,-0.31666666666666665,0.8463541666666666,1.1815384615384616,0.8463541666666666,0.15364583333333334,0.852,0.08208955223880597
Pima,model_a_screening,Random Forest,adaptive_calibration,isotonic,0.95,split_conformal_source_calibration,384,0.9609375,0.010937500000000044,1.6692708333333333,0.5990639625585024,0.3307291666666667,0.0,0.988,0.9104477611940298
Pima,model_a_screening,Random Forest,adaptive_calibration,isotonic,0.95,adaptive_transport_conformal,384,0.9609375,0.010937500000000044,1.6692708333333333,0.5990639625585024,0.3307291666666667,0.0,0.988,0.9104477611940298
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,0.8,split_conformal_source_calibration,1146,0.5741710296684118,-0.22582897033158822,0.6282722513089005,1.5916666666666668,0.6282722513089005,0.3717277486910995,0.6970338983050848,0.0
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,0.8,adaptive_transport_conformal,1146,0.587260034904014,-0.21273996509598603,0.6448516579406631,1.550744248985115,0.6448516579406631,0.3551483420593368,0.7129237288135594,0.0
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,0.9,split_conformal_source_calibration,1146,0.7905759162303665,-0.10942408376963353,0.9301919720767888,1.075046904315197,0.9301919720767888,0.06980802792321117,0.9491525423728814,0.04950495049504951
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,0.9,adaptive_transport_conformal,1146,0.8036649214659686,-0.09633507853403145,0.9589877835951134,1.042766151046406,0.9589877835951134,0.04101221640488656,0.9639830508474576,0.054455445544554455
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,0.95,split_conformal_source_calibration,1146,0.9336823734729494,-0.0163176265270506,1.317626527050611,0.7589403973509933,0.6823734729493892,0.0,1.0,0.6237623762376238
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,0.95,adaptive_transport_conformal,1146,0.9363001745200699,-0.013699825479930094,1.3263525305410122,0.7539473684210526,0.6736474694589878,0.0,1.0,0.6386138613861386
NHANES,model_a_screening,XGBoost,fixed_recalibration,beta,0.8,split_conformal_source_calibration,1146,0.518324607329843,-0.28167539267015707,0.5619546247818499,1.7795031055900623,0.5619546247818499,0.43804537521815007,0.6292372881355932,0.0
NHANES,model_a_screening,XGBoost,fixed_recalibration,beta,0.8,adaptive_transport_conformal,1146,0.5497382198952879,-0.2502617801047121,0.6012216404886562,1.6632801161103048,0.6012216404886562,0.3987783595113438,0.6673728813559322,0.0
NHANES,model_a_screening,XGBoost,fixed_recalibration,beta,0.9,split_conformal_source_calibration,1146,0.7949389179755671,-0.10506108202443287,0.944153577661431,1.0591497227356748,0.944153577661431,0.055846422338568937,0.965042372881356,0.0
NHANES,model_a_screening,XGBoost,fixed_recalibration,beta,0.9,adaptive_transport_conformal,1146,0.81239092495637,-0.08760907504363002,0.974694589877836,1.0259623992837958,0.974694589877836,0.02530541012216405,0.986228813559322,0.0
NHANES,model_a_screening,XGBoost,fixed_recalibration,beta,0.95,split_conformal_source_calibration,1146,0.9467713787085514,-0.003228621291448519,1.3769633507853403,0.7262357414448669,0.6230366492146597,0.0,1.0,0.698019801980198
NHANES,model_a_screening,XGBoost,fixed_recalibration,beta,0.95,adaptive_transport_conformal,1146,0.9467713787085514,-0.003228621291448519,1.3769633507853403,0.7262357414448669,0.6230366492146597,0.0,1.0,0.698019801980198
NHANES,model_a_screening,XGBoost,adaptive_calibration,isotonic,0.8,split_conformal_source_calibration,1146,0.5741710296684118,-0.22582897033158822,0.6282722513089005,1.5916666666666668,0.6282722513089005,0.3717277486910995,0.6970338983050848,0.0
NHANES,model_a_screening,XGBoost,adaptive_calibration,isotonic,0.8,adaptive_transport_conformal,1146,0.5741710296684118,-0.22582897033158822,0.6282722513089005,1.5916666666666668,0.6282722513089005,0.3717277486910995,0.6970338983050848,0.0
NHANES,model_a_screening,XGBoost,adaptive_calibration,isotonic,0.9,split_conformal_source_calibration,1146,0.8115183246073299,-0.08848167539267016,0.9720767888307156,1.0287253141831239,0.9720767888307156,0.027923211169284468,0.9851694915254238,0.0
NHANES,model_a_screening,XGBoost,adaptive_calibration,isotonic,0.9,adaptive_transport_conformal,1146,0.8115183246073299,-0.08848167539267016,0.9720767888307156,1.0287253141831239,0.9720767888307156,0.027923211169284468,0.9851694915254238,0.0
