target_dataset,feature_set,model,scenario,calibration_method,conformal_method,equal_opportunity_difference,calibration_difference,coverage_gap_between_groups,reliability_gap
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,0.5215586074736507,0.08974424717798221,0.3458485958485959,0.5215586074736507
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,0.5043117214947301,0.09625764810557733,0.20573870573870573,0.5043117214947301
Pima,model_a_screening,XGBoost,adaptive_calibration,isotonic,adaptive_transport_conformal,0.37272436921111474,0.06073885241834181,0.2693833943833944,0.37272436921111474
Pima,model_a_screening,XGBoost,fixed_recalibration,beta,adaptive_transport_conformal,0.40498243372724374,0.01034763009989606,0.3359279609279609,0.40498243372724374
Pima,model_a_screening,XGBoost,naive_transfer,uncalibrated,adaptive_transport_conformal,0.03225806451612903,0.035068766561062836,0.18421855921855929,0.18421855921855929
Pima,model_b_routine_clinical,CatBoost,adaptive_calibration,isotonic,adaptive_transport_conformal,0.3359948898115618,0.06837966440338437,0.1646825396825397,0.3359948898115618
Pima,model_b_routine_clinical,CatBoost,fixed_recalibration,isotonic,adaptive_transport_conformal,0.3359948898115618,0.06837966440338437,0.1646825396825397,0.3359948898115618
Pima,model_b_routine_clinical,CatBoost,naive_transfer,uncalibrated,adaptive_transport_conformal,0.0,0.09937839010038374,0.2951770451770452,0.2951770451770452
Pima,model_b_routine_clinical,LightGBM,adaptive_calibration,isotonic,adaptive_transport_conformal,0.3902906419674225,0.007831411439697594,0.006009615384615308,0.3902906419674225
Pima,model_b_routine_clinical,LightGBM,fixed_recalibration,temperature,adaptive_transport_conformal,0.21877994251038005,0.06168325823231671,0.23748473748473747,0.23748473748473747
Pima,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,adaptive_transport_conformal,0.21877994251038005,0.05395809123601847,0.14300976800976806,0.21877994251038005
Pima,model_b_routine_clinical,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,0.22708399872245288,0.1233803419317081,0.09935897435897445,0.22708399872245288
Pima,model_b_routine_clinical,Logistic Regression,fixed_recalibration,uncalibrated,adaptive_transport_conformal,0.3209837112743532,0.05141833646507986,0.0708180708180709,0.3209837112743532
Pima,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,0.3209837112743532,0.05141833646507986,0.0708180708180709,0.3209837112743532
Pima,model_b_routine_clinical,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,0.4525710635579687,0.06505509225356726,0.003806089743589758,0.4525710635579687
