target_dataset,feature_set,model,scenario,calibration_method,conformal_method,subgroup,level,n,roc_auc,ece,coverage,prediction_set_size,sensitivity,specificity,false_positive_rate,false_negative_rate
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,age_group,20-44,312,0.7427150297968186,0.10223260203653883,0.6025641025641025,0.8525641025641025,0.4158415841584158,0.8009478672985783,0.1990521327014218,0.5841584158415841
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,age_group,45-64,63,0.5176411290322581,0.2000010426336574,0.4444444444444444,0.8253968253968254,0.8387096774193549,0.21875,0.78125,0.16129032258064516
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,sex,Unknown,384,0.7062537313432836,0.1263966438481589,0.5677083333333334,0.8489583333333334,0.5223880597014925,0.704,0.296,0.47761194029850745
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Pima/Native American,384,0.7062537313432836,0.1263966438481589,0.5677083333333334,0.8489583333333334,0.5223880597014925,0.704,0.296,0.47761194029850745
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,socioeconomic_status,Unknown,384,0.7062537313432836,0.1263966438481589,0.5677083333333334,0.8489583333333334,0.5223880597014925,0.704,0.296,0.47761194029850745
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,age_group,20-44,312,0.7427150297968186,0.08962249113604448,0.6121794871794872,0.8589743589743589,0.25742574257425743,0.8909952606635071,0.10900473933649289,0.7425742574257426
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,age_group,45-64,63,0.5176411290322581,0.15486792667094992,0.38095238095238093,0.7619047619047619,0.7096774193548387,0.34375,0.65625,0.2903225806451613
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,sex,Unknown,384,0.7062537313432836,0.09914440571310115,0.5651041666666666,0.84375,0.373134328358209,0.8,0.2,0.6268656716417911
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,race,Pima/Native American,384,0.7062537313432836,0.09914440571310115,0.5651041666666666,0.84375,0.373134328358209,0.8,0.2,0.6268656716417911
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,socioeconomic_status,Unknown,384,0.7062537313432836,0.09914440571310115,0.5651041666666666,0.84375,0.373134328358209,0.8,0.2,0.6268656716417911
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,age_group,20-44,312,0.7344563840270283,0.07596698622741618,0.6057692307692307,0.8493589743589743,0.18811881188118812,0.9146919431279621,0.08530805687203792,0.8118811881188119
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,age_group,45-64,63,0.5231854838709677,0.14013068957232397,0.3968253968253968,0.7619047619047619,0.6129032258064516,0.4375,0.5625,0.3870967741935484
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,sex,Unknown,384,0.6984477611940298,0.09390017236286653,0.5625,0.8359375,0.29850746268656714,0.832,0.168,0.7014925373134329
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Pima/Native American,384,0.6984477611940298,0.09390017236286653,0.5625,0.8359375,0.29850746268656714,0.832,0.168,0.7014925373134329
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,socioeconomic_status,Unknown,384,0.6984477611940298,0.09390017236286653,0.5625,0.8359375,0.29850746268656714,0.832,0.168,0.7014925373134329
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,age_group,20-44,428,0.8226509701329846,0.251932855403087,0.8925233644859814,1.1238317757009346,0.6363636363636364,0.8489208633093526,0.1510791366906475,0.36363636363636365
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,age_group,45-64,416,0.6629998222854098,0.40832356149919546,0.5552884615384616,1.2548076923076923,0.8588235294117647,0.3081570996978852,0.6918429003021148,0.1411764705882353
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,age_group,65+,302,0.6330381209087409,0.36946561375110604,0.44039735099337746,1.1026490066225165,0.9716981132075472,0.08163265306122448,0.9183673469387755,0.02830188679245283
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,sex,Female,590,0.7658486707566462,0.3244756221231017,0.6711864406779661,1.176271186440678,0.8613861386138614,0.523517382413088,0.47648261758691207,0.13861386138613863
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,sex,Male,556,0.8081057556305082,0.3558055071877527,0.6294964028776978,1.1546762589928057,0.9504950495049505,0.4747252747252747,0.5252747252747253,0.04950495049504951
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Mexican American,161,0.7807851239669421,0.2675683439297795,0.6770186335403726,1.1925465838509317,0.825,0.512396694214876,0.48760330578512395,0.175
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Non-Hispanic Asian,147,0.839430894308943,0.25672823762540203,0.8095238095238095,1.217687074829932,0.7916666666666666,0.6910569105691057,0.3089430894308943,0.20833333333333334
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Non-Hispanic Black,281,0.7417206290471785,0.3832575311447526,0.5836298932384342,1.1387900355871887,0.9782608695652174,0.42127659574468085,0.5787234042553191,0.021739130434782608
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Non-Hispanic White,402,0.8039488701209769,0.37332182759552296,0.6218905472636815,1.1741293532338308,0.9538461538461539,0.4629080118694362,0.5370919881305638,0.046153846153846156
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Other Hispanic,94,0.7763713080168777,0.3605868734314493,0.6170212765957447,1.1382978723404256,0.8666666666666667,0.4810126582278481,0.5189873417721519,0.13333333333333333
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Other/Multi-racial,61,0.8758503401360543,0.2751642245534429,0.7540983606557377,1.0819672131147542,0.9166666666666666,0.6530612244897959,0.3469387755102041,0.08333333333333333
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,socioeconomic_status,High,309,0.7665637065637065,0.35661300411535013,0.6440129449838188,1.1779935275080906,0.92,0.4980694980694981,0.5019305019305019,0.08
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,socioeconomic_status,Low,259,0.8085911784068466,0.3409992055593637,0.6795366795366795,1.1737451737451738,0.9285714285714286,0.5345622119815668,0.46543778801843316,0.07142857142857142
