target_dataset,feature_set,model,scenario,calibration_method,n,roc_auc,pr_auc,accuracy,precision,sensitivity,specificity,f1_score,brier_score,log_loss,ece,mce,calibration_slope,calibration_intercept,tn,fp,fn,tp,change_from_internal_auc,change_from_naive_auc,marginal_coverage,average_prediction_set_size,mean_psi,reliability_gap,performance_component,calibration_component,uncertainty_component,distribution_shift_component,fairness_component,transport_reliability_score
NHANES,model_b_routine_clinical,LightGBM,naive_transfer,uncalibrated,1146,0.9227874853163283,0.7563571791883226,0.8891797556719022,0.6637554585152838,0.7524752475247525,0.9184322033898306,0.7053364269141531,0.08431844626904804,0.523970150263775,0.07418009964412517,0.40875429398597374,0.2600497529153908,-0.6796973191265523,867,77,50,152,-0.05267323094904974,0.0,0.8778359511343804,0.9799301919720768,1.5453706015718196,0.29166666666666674,0.9227874853163283,0.9258199003558748,0.9753732790382004,0.0,0.7083333333333333,0.7064627996087474
NHANES,model_c_extended_transport,LightGBM,naive_transfer,uncalibrated,1146,0.9227874853163283,0.7563571791883226,0.8891797556719022,0.6637554585152838,0.7524752475247525,0.9184322033898306,0.7053364269141531,0.08431844626904804,0.523970150263775,0.07418009964412517,0.40875429398597374,0.2600497529153908,-0.6796973191265523,867,77,50,152,-0.05267323094904974,0.0,0.8778359511343804,0.9799301919720768,1.5453706015718196,0.29166666666666674,0.9227874853163283,0.9258199003558748,0.9753732790382004,0.0,0.7083333333333333,0.7064627996087474
NHANES,model_b_routine_clinical,CatBoost,naive_transfer,uncalibrated,1146,0.9194023745594898,0.7714657518724871,0.9075043630017452,0.8478260869565217,0.5792079207920792,0.9777542372881356,0.6882352941176471,0.07810566301726946,0.39933865145041414,0.06580830342640685,0.7078037344519118,0.3468888408934627,-0.39518277911937333,923,21,85,117,-0.05767280787708795,0.0,0.8438045375218151,0.8987783595113438,1.5453706015718196,0.2748499102556168,0.9194023745594898,0.9341916965735931,0.9375605972464611,0.0,0.7251500897443832,0.7032609516247855
NHANES,model_c_extended_transport,CatBoost,naive_transfer,uncalibrated,1146,0.9194023745594898,0.7714657518724871,0.9075043630017452,0.8478260869565217,0.5792079207920792,0.9777542372881356,0.6882352941176471,0.07810566301726946,0.39933865145041414,0.06580830342640685,0.7078037344519118,0.3468888408934627,-0.39518277911937333,923,21,85,117,-0.05767280787708795,0.0,0.8438045375218151,0.8987783595113438,1.5453706015718196,0.2748499102556168,0.9194023745594898,0.9341916965735931,0.9375605972464611,0.0,0.7251500897443832,0.7032609516247855
NHANES,model_b_routine_clinical,CatBoost,fixed_recalibration,isotonic,1146,0.91847677882195,0.7443131514315002,0.9057591623036649,0.8560606060606061,0.5594059405940595,0.9798728813559322,0.6766467065868264,0.07259840233013069,0.25504271885481866,0.013381922914193337,0.6680517023723193,0.9809723390146277,0.14048877713216362,925,19,89,113,-0.05859840361462776,-0.0009255957375398083,0.7539267015706806,0.7853403141361257,1.5453706015718196,0.3566720306987683,0.91847677882195,0.9866180770858066,0.837696335078534,0.0,0.6433279693012317,0.6772238320575046
NHANES,model_c_extended_transport,CatBoost,adaptive_calibration,isotonic,1146,0.91847677882195,0.7443131514315002,0.9057591623036649,0.8560606060606061,0.5594059405940595,0.9798728813559322,0.6766467065868264,0.07259840233013069,0.25504271885481866,0.013381922914193337,0.6680517023723193,0.9809723390146277,0.14048877713216362,925,19,89,113,-0.05859840361462776,-0.0009255957375398083,0.7539267015706806,0.7853403141361257,1.5453706015718196,0.3566720306987683,0.91847677882195,0.9866180770858066,0.837696335078534,0.0,0.6433279693012317,0.6772238320575046
NHANES,model_c_extended_transport,CatBoost,fixed_recalibration,isotonic,1146,0.91847677882195,0.7443131514315002,0.9057591623036649,0.8560606060606061,0.5594059405940595,0.9798728813559322,0.6766467065868264,0.07259840233013069,0.25504271885481866,0.013381922914193337,0.6680517023723193,0.9809723390146277,0.14048877713216362,925,19,89,113,-0.05859840361462776,-0.0009255957375398083,0.7539267015706806,0.7853403141361257,1.5453706015718196,0.3566720306987683,0.91847677882195,0.9866180770858066,0.837696335078534,0.0,0.6433279693012317,0.6772238320575046
NHANES,model_b_routine_clinical,CatBoost,adaptive_calibration,isotonic,1146,0.91847677882195,0.7443131514315002,0.9057591623036649,0.8560606060606061,0.5594059405940595,0.9798728813559322,0.6766467065868264,0.07259840233013069,0.25504271885481866,0.013381922914193337,0.6680517023723193,0.9809723390146277,0.14048877713216362,925,19,89,113,-0.05859840361462776,-0.0009255957375398083,0.7539267015706806,0.7853403141361257,1.5453706015718196,0.3566720306987683,0.91847677882195,0.9866180770858066,0.837696335078534,0.0,0.6433279693012317,0.6772238320575046
Pima,model_c_extended_transport,Logistic Regression,adaptive_calibration,isotonic,384,0.8015820895522389,0.6178998496620433,0.7395833333333334,0.6416666666666667,0.5746268656716418,0.828,0.6062992125984252,0.17233984054075982,0.5392819641531429,0.04420549893830321,0.14985927283718847,0.562945547685559,-0.15778207486475362,207,43,57,77,-0.1579869679395004,-0.0043582089552238745,0.7395833333333334,1.0,1.8972527335712026,0.22708399872245288,0.8015820895522389,0.9557945010616968,0.8217592592592593,0.0,0.7729160012775471,0.6704103702301485
Pima,model_b_routine_clinical,Logistic Regression,adaptive_calibration,isotonic,384,0.8015820895522389,0.6178998496620433,0.7395833333333334,0.6416666666666667,0.5746268656716418,0.828,0.6062992125984252,0.1723398405407599,0.5392819641531428,0.044205498938303216,0.14985927283718847,0.5629455476855593,-0.1577820748647536,207,43,57,77,-0.1579869679395004,-0.0043582089552238745,0.7395833333333334,1.0,1.8972527335712026,0.22708399872245288,0.8015820895522389,0.9557945010616968,0.8217592592592593,0.0,0.7729160012775471,0.6704103702301485
