target_dataset,feature_set,model,scenario,calibration_method,conformal_method,marginal_coverage,coverage_bootstrap_mean,coverage_ci_low,coverage_ci_high,average_prediction_set_size,referral_rate,clinical_cost
NHANES,model_b_routine_clinical,XGBoost,label_shift_adjusted,label_shift,multi_objective_dp_shift_atcp,0.8970331588132635,0.897283304246655,0.8773778359511343,0.9144851657940664,1.1038394415357766,0.10383944153577661,0.37347294938917974
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,source_split_conformal,0.8743455497382199,0.874456079115765,0.8538176265270505,0.894000872600349,0.9397905759162304,0.060209424083769635,0.45898778359511344
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,importance_weighted_source_conformal,0.8743455497382199,0.874456079115765,0.8538176265270505,0.894000872600349,0.9415357766143106,0.05846422338568935,0.462478184991274
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,target_only_conformal,0.887434554973822,0.8873240255962768,0.8664921465968587,0.9048865619546248,0.9659685863874345,0.034031413612565446,0.44589877835951136
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,adaptive_transport_conformal,0.8743455497382199,0.874456079115765,0.8538176265270505,0.894000872600349,0.9397905759162304,0.060209424083769635,0.45898778359511344
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,weighted_target_dominant_atcp,0.8839441535776614,0.8837579988365329,0.8630017452006981,0.9018542757417103,0.956369982547993,0.04363001745200698,0.44415357766143104
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,shift_aware_source_trust_atcp,0.8839441535776614,0.8837579988365329,0.8630017452006981,0.9018542757417103,0.956369982547993,0.04363001745200698,0.44415357766143104
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,class_conditional_weighted_atcp,0.9022687609075044,0.9024287376381618,0.8848167539267016,0.9197207678883071,1.1099476439790577,0.1099476439790576,0.38045375218150085
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,risk_asymmetric_shift_atcp,0.8926701570680629,0.893152995927865,0.8738874345549738,0.9101221640488656,1.12565445026178,0.1256544502617801,0.4040139616055846
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,dp_shift_atcp,0.8970331588132635,0.897283304246655,0.8773778359511343,0.9144851657940664,1.1038394415357766,0.10383944153577661,0.37347294938917974
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,safety_gated_atcp,0.887434554973822,0.8873240255962768,0.8664921465968587,0.9048865619546248,0.9659685863874345,0.034031413612565446,0.44589877835951136
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,safety_gated_shift_atcp,0.887434554973822,0.8873240255962768,0.8664921465968587,0.9048865619546248,0.9659685863874345,0.034031413612565446,0.44589877835951136
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,multi_objective_safety_gated_atcp,0.887434554973822,0.8873240255962768,0.8664921465968587,0.9048865619546248,0.9659685863874345,0.034031413612565446,0.44589877835951136
