target_dataset,feature_set,model,scenario,calibration_method,n,roc_auc,pr_auc,accuracy,precision,sensitivity,specificity,f1_score,brier_score,log_loss,ece,mce,calibration_slope,calibration_intercept,tn,fp,fn,tp
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,1146,0.7799756670582312,0.4117269469904186,0.8254799301919721,0.53125,0.08415841584158416,0.9841101694915254,0.1452991452991453,0.12431902438402176,0.3878919605701368,0.018425522145797315,0.10498707231722382,0.9701052838175729,0.08752619637513924,929,15,185,17
NHANES,model_a_screening,XGBoost,label_shift_adjusted,label_shift,1146,0.7799756670582312,0.4117269469904186,0.7975567190226877,0.4147727272727273,0.3613861386138614,0.8908898305084746,0.3862433862433862,0.1360680145278428,0.4162995812453716,0.09228691992212691,0.24507304861429036,0.9698471190407051,-0.6776411208794371,841,103,129,73
NHANES,model_a_screening,XGBoost,fixed_recalibration_source_selected,beta,1146,0.7799756670582312,0.4117269469904186,0.824607329842932,1.0,0.0049504950495049506,1.0,0.009852216748768473,0.12444187608802867,0.38773942167170444,0.022127496973348447,0.49952870917391634,1.1613191000584073,0.20902781283556893,944,0,201,1
NHANES,model_a_screening,XGBoost,adaptive_calibration_target_selected,temperature,1146,0.7799756670582312,0.4117269469904186,0.8254799301919721,0.53125,0.08415841584158416,0.9841101694915254,0.1452991452991453,0.1239773494055907,0.3872570877360341,0.01729985966908031,0.08648601338503803,1.0882404945417168,0.08721353301130085,929,15,185,17
Pima,model_a_screening,XGBoost,naive_transfer,uncalibrated,384,0.7179253731343284,0.4997622041086106,0.6510416666666666,0.5,0.007462686567164179,0.996,0.014705882352941176,0.2888287603855133,0.9706928123934548,0.27016065683710627,0.4088538515347022,0.5673680174169223,1.0566797412295996,249,1,133,1
Pima,model_a_screening,XGBoost,label_shift_adjusted,label_shift,384,0.7179253731343284,0.4997622041086106,0.65625,0.5151515151515151,0.2537313432835821,0.872,0.34,0.22546404182995639,0.6451177028459452,0.14707570002087136,0.4440890474465483,0.5672146069668881,0.08535103274250426,218,32,100,34
Pima,model_a_screening,XGBoost,fixed_recalibration_source_selected,beta,384,0.7179253731343284,0.4997622041086106,0.6614583333333334,0.5217391304347826,0.3582089552238806,0.824,0.4247787610619469,0.20463360584277593,0.5892207864982851,0.09595847769788768,0.3149735207050878,0.9225756336277837,-0.009583406986145248,206,44,86,48
Pima,model_a_screening,XGBoost,adaptive_calibration_target_selected,platt,384,0.7179253731343284,0.4997622041086106,0.6640625,0.5287356321839081,0.34328358208955223,0.836,0.416289592760181,0.20663266354948365,0.594526673831551,0.11207877328222668,0.24013462177324618,0.8814953965816458,-0.03728418167399728,209,41,88,46
NHANES,model_a_screening,LightGBM,naive_transfer,uncalibrated,1146,0.7761054707165632,0.41050128747015463,0.5523560209424084,0.26825633383010433,0.8910891089108911,0.4798728813559322,0.41237113402061853,0.27209784826165595,0.7503149688842518,0.35040027189853573,0.5182196191504803,0.9561001521717847,-2.122437334726934,453,491,22,180
NHANES,model_a_screening,LightGBM,label_shift_adjusted,label_shift,1146,0.7761054707165632,0.41050128747015463,0.4511343804537522,0.23995127892813642,0.9752475247524752,0.3389830508474576,0.38514173998044965,0.3807906659986697,1.0780631480102156,0.47820647672944105,0.6330868251198146,0.9546509380521843,-2.873466361741547,320,624,5,197
NHANES,model_a_screening,LightGBM,fixed_recalibration_source_selected,platt,1146,0.7761054707165632,0.41050128747015463,0.8289703315881326,0.7142857142857143,0.04950495049504951,0.9957627118644068,0.09259259259259259,0.12484984880156624,0.3904793809446899,0.011969476724730064,0.3988221421541027,1.127108651224537,0.1761712315576188,940,4,192,10
NHANES,model_a_screening,LightGBM,adaptive_calibration_target_selected,platt,1146,0.7761054707165632,0.41050128747015463,0.8289703315881326,0.7142857142857143,0.04950495049504951,0.9957627118644068,0.09259259259259259,0.12484984880156624,0.3904793809446899,0.011969476724730064,0.3988221421541027,1.127108651224537,0.1761712315576188,940,4,192,10
Pima,model_a_screening,LightGBM,naive_transfer,uncalibrated,384,0.7079850746268657,0.49712674330592393,0.6588541666666666,0.5142857142857142,0.40298507462686567,0.796,0.45188284518828453,0.21899480075080033,0.626937920287384,0.11956361159590698,0.3848949789568627,0.5308780791314754,-0.2367222317443794,199,51,80,54
Pima,model_a_screening,LightGBM,label_shift_adjusted,label_shift,384,0.7079850746268657,0.49712674330592393,0.6171875,0.4743083003952569,0.8955223880597015,0.468,0.6201550387596899,0.2905919310384942,0.8724761273927082,0.2955609562581033,0.41651948128141636,0.5308740944119226,-1.145235847594753,117,133,14,120
Pima,model_a_screening,LightGBM,fixed_recalibration_source_selected,platt,384,0.7079850746268657,0.49712674330592393,0.6588541666666666,0.5176470588235295,0.3283582089552239,0.836,0.4018264840182648,0.2064016108621369,0.5947221747013227,0.08425655778509213,0.301939054638027,0.8934882438705394,-0.02300654065372308,209,41,90,44
Pima,model_a_screening,LightGBM,adaptive_calibration_target_selected,beta,384,0.7079850746268657,0.49712674330592393,0.6536458333333334,0.5054945054945055,0.34328358208955223,0.82,0.4088888888888889,0.20343240364506743,0.5871746076185859,0.06963379246090781,0.16008212335382366,0.9500842768943765,0.015879264181660125,205,45,88,46
NHANES,model_a_screening,CatBoost,naive_transfer,uncalibrated,1146,0.7796846157073334,0.40533113023259665,0.8254799301919721,0.5384615384615384,0.06930693069306931,0.9872881355932204,0.12280701754385964,0.12448726718455336,0.38846800209988025,0.018020699068099326,0.23297477685971635,1.0064224054421098,0.12104914172233776,932,12,188,14
NHANES,model_a_screening,CatBoost,label_shift_adjusted,label_shift,1146,0.7796846157073334,0.40533113023259665,0.8019197207678883,0.42424242424242425,0.3465346534653465,0.899364406779661,0.3814713896457766,0.13643379254782012,0.4187010626397013,0.09574260130780635,0.19942524985820553,1.0060190821875894,-0.6727925896142942,849,95,132,70
NHANES,model_a_screening,CatBoost,fixed_recalibration_source_selected,uncalibrated,1146,0.7796846157073334,0.40533113023259665,0.8254799301919721,0.5384615384615384,0.06930693069306931,0.9872881355932204,0.12280701754385964,0.12448726718455336,0.38846800209988025,0.018020699068099326,0.23297477685971635,1.0064224054421098,0.12104914172233776,932,12,188,14
NHANES,model_a_screening,CatBoost,adaptive_calibration_target_selected,isotonic,1146,0.7709347205907031,0.3734891636140452,0.8272251308900523,0.6,0.0594059405940594,0.9915254237288136,0.10810810810810811,0.12528102492572546,0.39782116916937715,0.009566273164796238,0.066072768043822,0.9075730888922937,-0.10500969343269095,936,8,190,12
Pima,model_a_screening,CatBoost,naive_transfer,uncalibrated,384,0.7011940298507463,0.48586097735190326,0.6510416666666666,0.0,0.0,1.0,0.0,0.2899372766251305,0.9687833696662977,0.26965187380807704,0.41671645119551215,0.5765042454238389,1.0668517304658185,250,0,134,0
