target_dataset,feature_set,conformal_method,mean_coverage,mean_set_size,mean_referral_rate,mean_clinical_cost,mean_class_0_coverage,mean_class_1_coverage,mean_class_gap,mean_source_weight,source_calibration_n,target_calibration_n,source_diabetes_prevalence,target_diabetes_prevalence,prevalence_gap,mean_psi,domain_classifier_auc,shift_aware_source_weight,source_trust_formula
NHANES,model_c_extended_transport,safety_gated_shift_atcp,0.9006108202443281,1.0155759162303666,0.043499127399650964,0.3966841186736475,0.9528072033898305,0.6566831683168316,0.30546809447893947,0.0002517826567650061,19226,1145,0.08823427422151328,0.17554585152838428,0.087311577306871,1.5453706015718196,1.0,0.0002517826567650061,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
NHANES,model_c_extended_transport,shift_aware_source_trust_atcp,0.9006108202443281,1.0155759162303666,0.043499127399650964,0.3966841186736475,0.9528072033898305,0.6566831683168316,0.30546809447893947,0.0002517826567650061,19226,1145,0.08823427422151328,0.17554585152838428,0.087311577306871,1.5453706015718196,1.0,0.0002517826567650061,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
Pima,model_a_screening,dp_shift_atcp,0.8760416666666666,1.5072916666666667,0.5072916666666667,1.259375,0.8560000000000001,0.9134328358208956,0.057432835820895554,0.0001636228412591333,19226,384,0.08823427422151328,0.3489583333333333,0.26072405911182006,1.8605885662626152,1.0,0.0001636228412591333,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
Pima,model_a_screening,multi_objective_dp_shift_atcp,0.88359375,1.5369791666666666,0.5369791666666667,1.3575520833333334,0.8854,0.8802238805970151,0.10349850746268656,0.0001636228412591333,19226,384,0.08823427422151328,0.3489583333333333,0.26072405911182006,1.8605885662626152,1.0,0.0001636228412591333,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
Pima,model_a_screening,safety_gated_shift_atcp,0.8884114583333333,1.5303385416666666,0.5303385416666667,1.484765625,0.9486000000000001,0.7761194029850746,0.22488059701492533,0.0001636228412591333,19226,384,0.08823427422151328,0.3489583333333333,0.26072405911182006,1.8605885662626152,1.0,0.0001636228412591333,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
Pima,model_a_screening,shift_aware_source_trust_atcp,0.8884114583333333,1.5303385416666666,0.5303385416666667,1.484765625,0.9486000000000001,0.7761194029850746,0.22488059701492533,0.0001636228412591333,19226,384,0.08823427422151328,0.3489583333333333,0.26072405911182006,1.8605885662626152,1.0,0.0001636228412591333,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
Pima,model_b_routine_clinical,dp_shift_atcp,0.8716145833333334,1.453125,0.453125,1.12578125,0.8378,0.9347014925373134,0.09690149253731346,0.00015205399625813483,19226,384,0.08823427422151328,0.3489583333333333,0.26072405911182006,1.8972527335712024,1.0,0.00015205399625813483,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
Pima,model_b_routine_clinical,multi_objective_dp_shift_atcp,0.8716145833333334,1.453125,0.453125,1.12578125,0.8378,0.9347014925373134,0.09690149253731346,0.00015205399625813483,19226,384,0.08823427422151328,0.3489583333333333,0.26072405911182006,1.8972527335712024,1.0,0.00015205399625813483,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
Pima,model_b_routine_clinical,safety_gated_shift_atcp,0.9145833333333334,1.4713541666666665,0.4713541666666667,1.2697916666666669,0.9616,0.826865671641791,0.16660298507462684,0.00015205399625813483,19226,384,0.08823427422151328,0.3489583333333333,0.26072405911182006,1.8972527335712024,1.0,0.00015205399625813483,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
Pima,model_b_routine_clinical,shift_aware_source_trust_atcp,0.9145833333333334,1.4713541666666665,0.4713541666666667,1.2697916666666669,0.9616,0.826865671641791,0.16660298507462684,0.00015205399625813483,19226,384,0.08823427422151328,0.3489583333333333,0.26072405911182006,1.8972527335712024,1.0,0.00015205399625813483,"exp(-2*mean_psi)*exp(-3*max(domain_auc-0.5,0))*target_n^-0.5*exp(-2*prevalence_gap)"
