target_dataset,feature_set,model,selection_split,calibration_method,selection_n,selection_ece,selection_brier,selected
NHANES,model_b_routine_clinical,LightGBM,target_calibration_select,uncalibrated,573,0.09959563523823453,0.09523114728517394,False
NHANES,model_b_routine_clinical,LightGBM,target_calibration_select,platt,573,0.017612717596788514,0.06853424415382563,True
NHANES,model_b_routine_clinical,LightGBM,target_calibration_select,temperature,573,0.07740907435653338,0.08102151869316795,False
NHANES,model_b_routine_clinical,LightGBM,target_calibration_select,isotonic,573,0.02269660332111128,0.06894422531586969,False
NHANES,model_b_routine_clinical,LightGBM,target_calibration_select,beta,573,0.02066051001348875,0.06824318702926688,False
Pima,model_b_routine_clinical,LightGBM,target_calibration_select,uncalibrated,192,0.16439414949026324,0.19734328414108857,False
Pima,model_b_routine_clinical,LightGBM,target_calibration_select,platt,192,0.08184038645214958,0.18375076543002114,False
Pima,model_b_routine_clinical,LightGBM,target_calibration_select,temperature,192,0.0976347884107505,0.18472505604126147,False
Pima,model_b_routine_clinical,LightGBM,target_calibration_select,isotonic,192,0.07034351542172754,0.17574602063034375,True
Pima,model_b_routine_clinical,LightGBM,target_calibration_select,beta,192,0.08762330400378152,0.18218791820321192,False
NHANES,model_b_routine_clinical,CatBoost,target_calibration_select,uncalibrated,573,0.06243309724717652,0.0763678424746655,False
NHANES,model_b_routine_clinical,CatBoost,target_calibration_select,platt,573,0.0263066395656883,0.07015711046363055,True
NHANES,model_b_routine_clinical,CatBoost,target_calibration_select,temperature,573,0.039541443892045225,0.07190192595094917,False
NHANES,model_b_routine_clinical,CatBoost,target_calibration_select,isotonic,573,0.034013427971390904,0.0707861038603285,False
NHANES,model_b_routine_clinical,CatBoost,target_calibration_select,beta,573,0.032046204983788254,0.07029498065522301,False
Pima,model_b_routine_clinical,CatBoost,target_calibration_select,uncalibrated,192,0.29690611033331077,0.2874136750893506,False
Pima,model_b_routine_clinical,CatBoost,target_calibration_select,platt,192,0.057199465600237795,0.17206155071237994,True
Pima,model_b_routine_clinical,CatBoost,target_calibration_select,temperature,192,0.11413893235058573,0.19225580111907506,False
Pima,model_b_routine_clinical,CatBoost,target_calibration_select,isotonic,192,0.0738772598268076,0.17442594218247023,False
Pima,model_b_routine_clinical,CatBoost,target_calibration_select,beta,192,0.06511551186788683,0.17263246722968492,False
NHANES,model_c_extended_transport,Logistic Regression,target_calibration_select,uncalibrated,573,0.09904077358144041,0.07977869443094525,False
NHANES,model_c_extended_transport,Logistic Regression,target_calibration_select,platt,573,0.036423376930827964,0.0644796302321089,False
NHANES,model_c_extended_transport,Logistic Regression,target_calibration_select,temperature,573,0.1168263545238212,0.0824400437195197,False
NHANES,model_c_extended_transport,Logistic Regression,target_calibration_select,isotonic,573,0.030326442733411486,0.06348031638271077,True
NHANES,model_c_extended_transport,Logistic Regression,target_calibration_select,beta,573,0.04025723367536633,0.06368441830757914,False
Pima,model_c_extended_transport,Logistic Regression,target_calibration_select,uncalibrated,192,0.08258047400235792,0.142425013545152,False
Pima,model_c_extended_transport,Logistic Regression,target_calibration_select,platt,192,0.08054971946760874,0.14169045734820354,True
Pima,model_c_extended_transport,Logistic Regression,target_calibration_select,temperature,192,0.10138513072095044,0.14548081376106894,False
Pima,model_c_extended_transport,Logistic Regression,target_calibration_select,isotonic,192,0.04918322923767608,0.14287803602579233,False
Pima,model_c_extended_transport,Logistic Regression,target_calibration_select,beta,192,0.09158149355216341,0.14619645200217596,False
NHANES,model_c_extended_transport,Random Forest,target_calibration_select,uncalibrated,573,0.0931653285946448,0.09050256480305247,False
