target_dataset,conformal_method,mean_coverage,mean_set_size,mean_referral_rate,mean_clinical_cost,mean_class_0_coverage,mean_class_1_coverage,mean_class_gap,mean_source_weight,fallback_rate,mean_diabetes_prevalence_in_referred,mean_confidence_referred,mean_confidence_non_referred,mean_non_referred_error_rate
NHANES,weighted_target_dominant_atcp,0.902283304246655,1.1383798720186153,0.15583187899941828,0.6284031413612566,0.9538488700564972,0.6613036303630363,0.32528073781954464,0.002,0.0,0.40969859776245227,0.618103869830079,0.919162270070405,0.1322588304262737
Pima,adaptive_transport_conformal,0.7612413194444444,1.196918402777778,0.248828125,1.393012152777778,0.91,0.4837064676616915,0.4520905472636816,1.0,0.0,0.5369227765158796,0.5973965941300805,0.8415448497015657,0.288093688656969
Pima,class_conditional_weighted_atcp,0.8962239583333333,1.513671875,0.513671875,1.2392795138888888,0.8821333333333333,0.9225124378109454,0.041131343283582096,0.0036666666666666666,0.0,0.40922228900430735,0.740078994303031,0.830688325600765,0.21386285138224082
Pima,dp_shift_atcp,0.8744791666666667,1.475,0.475,1.1760416666666667,0.8458,0.9279850746268657,0.0821850746268657,0.0001559102779251343,0.0,0.37647130077744606,0.7547994376985504,0.809397560083084,0.24234184653438642
Pima,importance_weighted_source_conformal,0.7661024305555556,1.2084201388888889,0.2594618055555556,1.4021267361111112,0.9142,0.4898009950248756,0.4499731343283582,,,0.514186585158609,0.5973819293736166,0.843828728093539,0.2882317115372789
Pima,multi_objective_dp_shift_atcp,0.879079861111111,1.4881510416666666,0.4881510416666667,1.2170138888888888,0.8602666666666666,0.9141791044776119,0.09999800995024875,0.0001559102779251343,0.18333333333333332,0.38190402564174925,0.7459330881665338,0.8234676441978768,0.24389723842644867
Pima,multi_objective_safety_gated_atcp,0.9033854166666667,1.484722222222222,0.4847222222222222,1.335503472222222,0.9550666666666667,0.8069651741293532,0.18706268656716418,0.00800272704735432,0.4,0.4975563318415237,0.6749220039330344,0.8861311946897553,0.19514078960811815
Pima,risk_asymmetric_shift_atcp,0.8933159722222223,1.532421875,0.532421875,1.2432291666666666,0.8636666666666667,0.9486318407960199,0.08496517412935325,0.0001559102779251343,0.0,0.38052115282644267,0.7559941258524052,0.8146942915614876,0.2331505261016399
Pima,safety_gated_atcp,0.9016927083333334,1.4806857638888888,0.4806857638888889,1.3346788194444446,0.9545999999999999,0.8029850746268657,0.18924278606965173,0.0036666666666666666,0.0,0.49824415532202604,0.673769698622087,0.8854687902547399,0.1977136272479997
Pima,safety_gated_shift_atcp,0.9059461805555556,1.4911458333333334,0.49114583333333334,1.3426649305555556,0.9578,0.8092039800995025,0.18755721393034824,0.0001559102779251343,0.0,0.49851188522988843,0.6766848162533918,0.8877974288081562,0.19290371046946822
Pima,shift_aware_source_trust_atcp,0.9059461805555556,1.4911458333333334,0.49114583333333334,1.3426649305555556,0.9578,0.8092039800995025,0.18755721393034824,0.0001559102779251343,0.0,0.49851188522988843,0.6766848162533918,0.8877974288081562,0.19290371046946822
Pima,source_split_conformal,0.7589409722222222,1.1907552083333333,0.2502170138888889,1.3921875,0.9082666666666667,0.4803482587064677,0.4535820895522388,,,0.5367956818665487,0.5975142850554892,0.8418419728148936,0.28751953373658234
Pima,target_only_conformal,0.9086371527777778,1.4998697916666666,0.4998697916666667,1.349956597222222,0.9590666666666666,0.8145522388059702,0.18212437810945273,,,0.49781833682739435,0.6788120730628295,0.8895809293411876,0.19100888952626102
Pima,weighted_target_dominant_atcp,0.9016927083333334,1.4806857638888888,0.4806857638888889,1.3346788194444446,0.9545999999999999,0.8029850746268657,0.18924278606965173,0.0036666666666666666,0.0,0.49824415532202604,0.673769698622087,0.8854687902547399,0.1977136272479997
