target_dataset,feature_set,model,scenario,calibration_method,conformal_method,confidence_level,class_0_target_confidence,class_1_target_confidence,gate_validation_coverage,gate_validation_class_0_coverage,gate_validation_class_1_coverage,gate_validation_class_gap,gate_validation_set_size,gate_validation_clinical_cost,gate_validation_referral_rate,multi_objective_score,selected_source_weight,marginal_coverage,class_0_conditional_coverage,class_1_conditional_coverage,class_coverage_gap_abs,average_prediction_set_size,referral_rate,clinical_cost
Pima,model_a_screening,Random Forest,fixed_recalibration_source_selected,platt,dp_shift_atcp,0.9,0.87,0.9,0.9010416666666666,0.896,0.9104477611940298,0.014447761194029796,1.5208333333333333,1.265625,0.5208333333333334,1.8763591417910446,0.0001636228412591333,0.875,0.856,0.9104477611940298,0.05444776119402983,1.5130208333333333,0.5130208333333334,1.2760416666666667
Pima,model_a_screening,Random Forest,fixed_recalibration_source_selected,platt,multi_objective_dp_shift_atcp,0.9,0.87,0.9,0.9010416666666666,0.896,0.9104477611940298,0.014447761194029796,1.5208333333333333,1.265625,0.5208333333333334,1.8763591417910446,0.0001636228412591333,0.875,0.856,0.9104477611940298,0.05444776119402983,1.5130208333333333,0.5130208333333334,1.2760416666666667
Pima,model_a_screening,Random Forest,fixed_recalibration_source_selected,platt,dp_shift_atcp,0.92,0.9,0.92,0.9114583333333334,0.912,0.9104477611940298,0.0015522388059702186,1.5677083333333333,1.3489583333333333,0.5677083333333334,1.9927870024875625,0.0001636228412591333,0.90625,0.888,0.9402985074626866,0.052298507462686605,1.5833333333333333,0.5833333333333334,1.34375
Pima,model_a_screening,Random Forest,fixed_recalibration_source_selected,platt,multi_objective_dp_shift_atcp,0.92,0.9,0.92,0.9114583333333334,0.912,0.9104477611940298,0.0015522388059702186,1.5677083333333333,1.3489583333333333,0.5677083333333334,1.9927870024875625,0.0001636228412591333,0.9296875,0.988,0.8208955223880597,0.16710447761194025,1.6041666666666667,0.6041666666666666,1.5286458333333333
Pima,model_a_screening,Random Forest,fixed_recalibration_source_selected,platt,dp_shift_atcp,0.95,0.9199999999999999,0.97,0.9270833333333334,0.928,0.9253731343283582,0.0026268656716418315,1.625,1.4270833333333333,0.625,2.1813190298507457,0.0001636228412591333,0.9192708333333334,0.888,0.9776119402985075,0.0896119402985075,1.6692708333333333,0.6692708333333334,1.4505208333333333
Pima,model_a_screening,Random Forest,fixed_recalibration_source_selected,platt,multi_objective_dp_shift_atcp,0.95,0.9199999999999999,0.97,0.9270833333333334,0.928,0.9253731343283582,0.0026268656716418315,1.625,1.4270833333333333,0.625,2.1813190298507457,0.0001636228412591333,0.9427083333333334,0.992,0.8507462686567164,0.14125373134328356,1.6380208333333333,0.6380208333333334,1.5416666666666667
Pima,model_a_screening,Random Forest,adaptive_calibration_target_selected,uncalibrated,dp_shift_atcp,0.8,0.75,0.8,0.8125,0.768,0.8955223880597015,0.1275223880597015,1.3229166666666667,0.9791666666666666,0.3229166666666667,1.8017002487562186,0.0001636228412591333,0.7838541666666666,0.764,0.8208955223880597,0.05689552238805973,1.296875,0.296875,1.0598958333333333
Pima,model_a_screening,Random Forest,adaptive_calibration_target_selected,uncalibrated,multi_objective_dp_shift_atcp,0.8,0.75,0.8,0.8125,0.768,0.8955223880597015,0.1275223880597015,1.3229166666666667,0.9791666666666666,0.3229166666666667,1.8017002487562186,0.0001636228412591333,0.7838541666666666,0.764,0.8208955223880597,0.05689552238805973,1.296875,0.296875,1.0598958333333333
Pima,model_a_screening,Random Forest,adaptive_calibration_target_selected,uncalibrated,dp_shift_atcp,0.85,0.7999999999999999,0.85,0.8489583333333334,0.816,0.9104477611940298,0.09444776119402987,1.4010416666666667,1.078125,0.4010416666666667,1.8067758084577112,0.0001636228412591333,0.8229166666666666,0.808,0.8507462686567164,0.04274626865671638,1.3723958333333333,0.3723958333333333,1.1302083333333333
Pima,model_a_screening,Random Forest,adaptive_calibration_target_selected,uncalibrated,multi_objective_dp_shift_atcp,0.85,0.7999999999999999,0.85,0.8489583333333334,0.816,0.9104477611940298,0.09444776119402987,1.4010416666666667,1.078125,0.4010416666666667,1.8067758084577112,0.0001636228412591333,0.8229166666666666,0.908,0.664179104477612,0.24382089552238806,1.3463541666666667,0.3463541666666667,1.3385416666666667
Pima,model_a_screening,Random Forest,adaptive_calibration_target_selected,uncalibrated,dp_shift_atcp,0.9,0.87,0.9,0.9010416666666666,0.896,0.9104477611940298,0.014447761194029796,1.5052083333333333,1.234375,0.5052083333333334,1.8482341417910444,0.0001636228412591333,0.875,0.856,0.9104477611940298,0.05444776119402983,1.5130208333333333,0.5130208333333334,1.2760416666666667
Pima,model_a_screening,Random Forest,adaptive_calibration_target_selected,uncalibrated,multi_objective_dp_shift_atcp,0.9,0.87,0.9,0.9010416666666666,0.896,0.9104477611940298,0.014447761194029796,1.5052083333333333,1.234375,0.5052083333333334,1.8482341417910444,0.0001636228412591333,0.875,0.856,0.9104477611940298,0.05444776119402983,1.5130208333333333,0.5130208333333334,1.2760416666666667
Pima,model_a_screening,Random Forest,adaptive_calibration_target_selected,uncalibrated,dp_shift_atcp,0.92,0.87,0.92,0.9010416666666666,0.896,0.9104477611940298,0.014447761194029796,1.515625,1.2552083333333333,0.515625,1.975671952736319,0.0001636228412591333,0.8854166666666666,0.856,0.9402985074626866,0.08429850746268663,1.5416666666666667,0.5416666666666666,1.28125
Pima,model_a_screening,Random Forest,adaptive_calibration_target_selected,uncalibrated,multi_objective_dp_shift_atcp,0.92,0.87,0.92,0.9010416666666666,0.896,0.9104477611940298,0.014447761194029796,1.515625,1.2552083333333333,0.515625,1.975671952736319,0.0001636228412591333,0.9166666666666666,0.968,0.8208955223880597,0.14710447761194023,1.5677083333333333,0.5677083333333334,1.46875
