target_dataset,feature_set,model,scenario,calibration_method,confidence_level,conformal_method,n,marginal_coverage,coverage_gap,average_prediction_set_size,prediction_set_efficiency,singleton_prediction_rate,empty_set_rate,class_0_conditional_coverage,class_1_conditional_coverage,class_coverage_gap_abs,clinical_cost,single_label_rate,referral_rate,uncertain_set_rate,diabetes_prevalence_in_referred,mean_confidence_referred,mean_confidence_non_referred,non_referred_error_rate,selected_source_weight,source_weight_strategy,gate_validation_coverage,fallback_used,mean_psi,domain_classifier_auc,prevalence_gap,shift_formula_source_weight,gate_validation_set_size,class_0_target_confidence,class_1_target_confidence,gate_validation_class_0_coverage,gate_validation_class_1_coverage,gate_validation_class_gap,gate_validation_clinical_cost,gate_validation_referral_rate,multi_objective_score,safety_decision,coverage_bootstrap_mean,coverage_ci_low,coverage_ci_high
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.8,multi_objective_dp_shift_atcp,384,0.7604166666666666,-0.039583333333333415,1.2552083333333333,0.7966804979253113,0.7447916666666666,0.0,0.72,0.835820895522388,0.11582089552238806,0.9791666666666666,0.7447916666666666,0.2552083333333333,0.2552083333333333,0.46938775510204084,0.798073705636744,0.760470996123038,0.32167832167832167,0.0001636228412591333,shift_formula,0.8020833333333334,False,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,1.28125,0.78,0.8,0.784,0.835820895522388,0.051820895522388,0.9895833333333334,0.28125,1.6079396766169156,diabetes_protected_shift_atcp,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,source_split_conformal,384,0.8776041666666666,0.027604166666666652,1.7604166666666667,0.5680473372781065,0.23958333333333334,0.0,0.812,1.0,0.18799999999999994,1.6432291666666667,0.23958333333333334,0.7604166666666666,0.7604166666666666,0.3047945205479452,0.7152032041315205,0.9442020917085413,0.5108695652173914,,,,,,,,,,,,,,,,,,,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,importance_weighted_source_conformal,384,0.8932291666666666,0.04322916666666665,1.7942708333333333,0.5573294629898403,0.20572916666666666,0.0,0.836,1.0,0.16400000000000003,1.6953125,0.20572916666666666,0.7942708333333334,0.7942708333333334,0.31475409836065577,0.7235257658399689,0.9497540438278389,0.5189873417721519,,,,,,,,,,,,,,,,,,,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,target_only_conformal,384,0.8098958333333334,-0.04010416666666661,1.6328125,0.6124401913875598,0.3671875,0.0,0.708,1.0,0.29200000000000004,1.4557291666666667,0.3671875,0.6328125,0.6328125,0.2716049382716049,0.6822961609124498,0.92133305632528,0.5177304964539007,,,,,,,,,,,,,,,,,,,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,adaptive_transport_conformal,384,0.8776041666666666,0.027604166666666652,1.7578125,0.5688888888888889,0.2421875,0.0,0.812,1.0,0.18799999999999994,1.6380208333333333,0.2421875,0.7578125,0.7578125,0.3024054982817869,0.7145446695129714,0.9438003141431731,0.5053763440860215,1.0,unweighted,,False,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,,,,,,,,,,,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,weighted_target_dominant_atcp,384,0.8489583333333334,-0.0010416666666666075,1.7083333333333333,0.5853658536585367,0.2916666666666667,0.0,0.768,1.0,0.23199999999999998,1.5677083333333333,0.2916666666666667,0.7083333333333334,0.7083333333333334,0.29411764705882354,0.7019668832167154,0.9354547840057424,0.5178571428571429,0.02,grid_selected,0.90625,False,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,1.7447916666666667,,,,,,,,,,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,shift_aware_source_trust_atcp,384,0.8098958333333334,-0.04010416666666661,1.6328125,0.6124401913875598,0.3671875,0.0,0.708,1.0,0.29200000000000004,1.4557291666666667,0.3671875,0.6328125,0.6328125,0.2716049382716049,0.6822961609124498,0.92133305632528,0.5177304964539007,0.0001636228412591333,shift_formula,,False,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,,,,,,,,,,,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,class_conditional_weighted_atcp,384,0.8203125,-0.029687499999999978,1.3854166666666667,0.7218045112781954,0.6145833333333334,0.0,0.812,0.835820895522388,0.023820895522387975,1.1796875,0.6145833333333334,0.3854166666666667,0.3854166666666667,0.44594594594594594,0.8185657311188803,0.7396533891440485,0.2923728813559322,0.02,grid_selected,0.90625,False,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,1.7447916666666667,,,,,,,,,,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,risk_asymmetric_shift_atcp,384,0.8098958333333334,-0.04010416666666661,1.3802083333333333,0.7245283018867925,0.6197916666666666,0.0,0.768,0.8880597014925373,0.12005970149253731,1.1067708333333333,0.6197916666666666,0.3802083333333333,0.3802083333333333,0.4383561643835616,0.7940806890116858,0.7553367539827043,0.3067226890756303,0.0001636228412591333,shift_formula,,False,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,,0.83,0.87,,,,,,,,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,dp_shift_atcp,384,0.7760416666666666,-0.07395833333333335,1.3098958333333333,0.7634194831013917,0.6901041666666666,0.0,0.736,0.8507462686567164,0.11474626865671644,1.0520833333333333,0.6901041666666666,0.3098958333333333,0.3098958333333333,0.42016806722689076,0.7909105878528231,0.7607078041098257,0.32452830188679244,0.0001636228412591333,shift_formula,0.8385416666666666,False,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,1.3697916666666667,0.7999999999999999,0.85,0.808,0.8955223880597015,0.08752238805970147,1.046875,0.3697916666666667,1.8078460820895523,,,,
